ANO,MES,CODIGO_RNT,COD_MUN,COD_DPTO,ESTADO_RNT,RAZON_SOCIAL_ESTABLECIMIENTO,DEPARTAMENTO,MUNICIPIO,CATEGORIA,SUB_CATEGORIA,HABITACIONES,CAMAS,NUM_EMP
2024,3,2538,27075,27,ACTIVO,HOTEL PLAYA DE ORO,CHOCO,BAHIA SOLANO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,27,70,7
2024,3,2567,27006,27,ACTIVO,TACARCUNA LODGE,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,35,100,6
2024,3,4309,27075,27,ACTIVO,ECOLODGE EL ALMEJAL S.A.S.,CHOCO,BAHIA SOLANO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,12,40,5
2024,3,5249,27001,27,ACTIVO,VIAJES TRUANDO LIMITADA,CHOCO,QUIBDO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES Y DE TURISMO,0,0,3
2024,3,6333,27001,27,ACTIVO,CORTES & CIA SAS,CHOCO,QUIBDO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES Y DE TURISMO,0,0,2
2024,3,7537,27006,27,ACTIVO,HOTEL ECOLOGICO LAS MAÑANITAS S.A.S.,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,37,100,1
2024,3,9543,27006,27,ACTIVO,HOTEL CALIPSO,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,16,44,5
2024,3,10115,27495,27,ACTIVO,CABAÑA LOS TERMALES,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),1,16,0
2024,2,10896,27006,27,ACTIVO,RASAMAR,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,18,27,0
2024,2,11687,27495,27,ACTIVO,CABAÑAS PIJIBA LODGE  2,CHOCO,NUQUI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,6,18,0
2024,3,13149,27006,27,ACTIVO,HOSTAL HELADERIA LUZ DE ORIENTE,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,8,22,0
2024,3,13784,27006,27,ACTIVO,LOS ALMENDROS CAPURGANÁ,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),6,30,2
2024,1,14131,27495,27,ACTIVO,POSADA TURISTICA LA JOVISENA,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),4,20,3
2024,3,15246,27001,27,ACTIVO,HOTEL CHOCO,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,24,28,0
2024,3,15247,27001,27,ACTIVO,HOTEL QUIBDO,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,22,28,0
2024,3,15248,27001,27,ACTIVO,HOTEL QUIBDO NO.2,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,20,22,0
2024,1,15293,27006,27,ACTIVO,HOSTAL CAPURGANA,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,7,22,0
2024,2,15590,27001,27,ACTIVO,HOTEL LOS ROBLES,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,86,95,2
2024,4,15855,27006,27,ACTIVO,CASA BLANCA LODGE CAPURGANA,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,11,22,2
2024,1,16844,27001,27,ACTIVO,HOTEL SU PAPA,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,7,11,0
2024,3,17341,27075,27,ACTIVO,POSADA ECOTURISTICA DE EL VALLE,CHOCO,BAHIA SOLANO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,11,23,0
2024,1,17626,27006,27,ACTIVO,SOL Y LUNA SOLARIUM,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,11,30,0
2024,1,17629,27495,27,ACTIVO,LA CABAÑA DE BETO Y MARTA,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),4,12,0
2024,2,19425,27075,27,ACTIVO,POSADA DEL MAR BAHIA SOLANO,CHOCO,BAHIA SOLANO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,5,7,0
2024,3,20267,27495,27,ACTIVO,CABAÑAS PLAYA TERCO,CHOCO,NUQUI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,4,8,0
2024,2,20280,27075,27,ACTIVO,POSADA VILLA MAGA,CHOCO,BAHIA SOLANO,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),3,8,0
2024,3,20287,27075,27,ACTIVO,PRIMITIVO LODGE,CHOCO,BAHIA SOLANO,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),5,10,1
2024,3,20797,27001,27,ACTIVO,HOSPEDAJE LOS BALCONES,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,20,24,1
2024,3,20857,27075,27,ACTIVO,POSADA PUNTARROCA,CHOCO,BAHIA SOLANO,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),6,24,0
2024,1,20886,27361,27,ACTIVO,AGENCIA DE VIAJES Y DE TURISMO AEROPACIFICO TOURS,CHOCO,ISTMINA,AGENCIAS DE VIAJES,AGENCIA DE VIAJES Y DE TURISMO,0,0,1
2024,2,20959,27001,27,ACTIVO,HOTEL Y CENTRO COMERCIAL DIVINO ECCEHOMO,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,34,44,2
2024,4,21977,27001,27,ACTIVO,AMMAS LTDA,CHOCO,QUIBDO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES Y DE TURISMO,0,0,1
2024,2,23576,27001,27,ACTIVO,CENTRO RECREACIONAL Y VACACIONAL COMFACHOCO,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,CENTRO VACACIONAL,48,117,40
2024,3,23770,27495,27,ACTIVO,HOTEL NUQUIMAR,CHOCO,NUQUI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,8,16,2
2024,3,23953,27006,27,ACTIVO,CABAÑAS PATIO BONITO,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,10,15,1
2024,4,24389,27001,27,ACTIVO,HIDRICOS LTDA,CHOCO,QUIBDO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES Y DE TURISMO,0,0,6
2024,3,24866,27075,27,ACTIVO,CABAÑA ARRECIFES,CHOCO,BAHIA SOLANO,VIVIENDAS TURÍSTICAS,OTRO TIPO DE VIVIENDA TURÍSTICA,3,15,1
2024,3,24938,27006,27,ACTIVO,ECOHOTEL PLAYAS DE CAPURGANA,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,6,18,0
2024,3,25014,27001,27,ACTIVO,AGENCIA DE VIAJES COMFACHOCO,CHOCO,QUIBDO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES Y DE TURISMO,0,0,2
2024,3,25355,27075,27,ACTIVO,CHOIBANA CASA,CHOCO,BAHIA SOLANO,VIVIENDAS TURÍSTICAS,OTRO TIPO DE VIVIENDA TURÍSTICA,5,8,1
2024,3,27126,27001,27,ACTIVO,AMANECER VIAJES Y TURISMO SAS,CHOCO,QUIBDO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES Y DE TURISMO,0,0,3
2024,3,27128,27075,27,ACTIVO,PALACIOS MOSQUERA EDINSON,CHOCO,BAHIA SOLANO,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),9,18,1
2024,4,27261,27075,27,ACTIVO,HOTEL BAHIA YUBARTA,CHOCO,BAHIA SOLANO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,24,50,6
2024,3,27468,27075,27,ACTIVO,HOSTAL LA TORTUGA JOROBADA,CHOCO,BAHIA SOLANO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,8,20,5
2024,3,28285,27001,27,ACTIVO,AVIATUR CORTES & CIA,CHOCO,QUIBDO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES Y DE TURISMO,0,0,2
2024,3,29022,27001,27,ACTIVO,HOTEL DANI,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,12,12,1
2024,2,29728,27787,27,ACTIVO,HOTEL LAS M.M.M.,CHOCO,TADO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,13,17,1
2024,2,29729,27361,27,ACTIVO,HOTEL LOS ANGELES A E HIJOS,CHOCO,ISTMINA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,14,17,1
2024,3,30111,27075,27,ACTIVO,HOTEL Y RESIDENCIA LA FRONTERA,CHOCO,BAHIA SOLANO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,20,26,0
2024,3,30432,27495,27,ACTIVO,PUNTA BRAVA,CHOCO,NUQUI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,5,12,1
2024,3,31145,27001,27,ACTIVO,HOTEL FEDERAL,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,10,11,0
2024,2,31254,27787,27,ACTIVO,HOTEL HAIDDY,CHOCO,TADO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,14,16,1
2024,3,31419,27205,27,ACTIVO,AGENCIA DE VIAJES GILAUTOURS,CHOCO,CONDOTO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES Y DE TURISMO,0,0,1
2024,1,32027,27006,27,ACTIVO,HOSPEDAJE LAS PALMERAS CAPURGANA,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,13,22,0
2024,3,32030,27001,27,ACTIVO,HOTEL QUIBDO PLAZA,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,37,57,6
2024,4,32163,27361,27,ACTIVO,AGENCIA DE VIAJES Y TURISMO VIAJES HANSA,CHOCO,ISTMINA,AGENCIAS DE VIAJES,AGENCIA DE VIAJES Y DE TURISMO,0,0,0
2024,3,32427,27001,27,ACTIVO,SONIA JAIMES COBOS,CHOCO,QUIBDO,OPERADORES PROFESIONALES DE CONGRESOS FERIAS Y CONVENCIONES,OPERADOR PROFESIONAL DE CONGRESOS FERIAS Y CONVENCIONES,0,0,0
2024,1,32984,27075,27,ACTIVO,POSADA TURISTICA BRISAS DEL MAR,CHOCO,BAHIA SOLANO,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),5,15,0
2024,3,33819,27361,27,ACTIVO,HOTEL TOLÓN,CHOCO,ISTMINA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,48,56,2
2024,3,34665,27001,27,ACTIVO,VIAJES LA AMISTAD,CHOCO,QUIBDO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES Y DE TURISMO,0,0,0
2024,3,34996,27075,27,ACTIVO,POSADA EL BIEN GERMINA YA,CHOCO,BAHIA SOLANO,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),10,10,0
2024,2,35162,27006,27,ACTIVO,HOTEL SHAKI,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,21,36,0
2024,3,35268,27001,27,ACTIVO,HOTEL ECOSUITE,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,21,23,3
2024,3,36317,27075,27,ACTIVO,POSADA LA NAGUALA,CHOCO,BAHIA SOLANO,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),5,10,0
2024,3,36464,27075,27,ACTIVO,OPERADORA DE TURISMO EL ALMEJAL NATURE TRAVEL,CHOCO,BAHIA SOLANO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES OPERADORAS,0,0,1
2024,3,36631,27006,27,ACTIVO,HOTEL DOÑA TRINY,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,22,28,3
